title,createdAt,qua
法普一下 香港大律師公會 關於《2019 年逃犯及刑事事宜相互法律協助法例（修訂）條例草案》的簡易指南 (請幫忙按讚推上去),2019-06-15,49
港仔不是常常在LOL裡戳人嗎,2019-06-15,49
送中條例是中國法治的一大進步,2019-06-15,49
今a日台灣，明a日香港．．．？,2019-06-15,49
(影片)香港如果輸了，這種事情就會開始發生在香港。,2019-06-15,49
無限期暫緩修訂逃犯條例,2019-06-15,49
暫緩逃犯條例,2019-06-15,49
反送中發生 韓還有心情造勢·····,2019-06-15,49
林鄭月娥記者會,2019-06-15,49
6/16同步聲援香港！（頂）（更）,2019-06-15,49
6/16 台北反送中集會需要你我,2019-06-15,49
去香港支援反送中有錢領？,2019-06-15,49
#三小《逃犯條例》緩修法　林鄭月娥：因台灣不接受移交建議,2019-06-15,49
香港《送中條例》暫緩但不撤：林鄭釜底抽薪？無限期擱置二讀,2019-06-15,49
香港中聯辦:堅決反對外部勢力干預香港事務,2019-06-15,49
香港反送中遊行最新消息：已經有人犧牲生命了 求各位關注,2019-06-15,49
我在台灣撐香港！,2019-06-15,49
香港責怪台灣不道德 可恥<U+0001F621>,2019-06-15,49
【逃犯條例】反修例黃衣男太古廣場危站五小時墮地　送院不治,2019-06-15,49
今天，香港政府害死人了,2019-06-15,49
民進黨初選過後的風向,2019-06-15,49
有香港人因為反送中 墮(墜)樓死掉了。。。,2019-06-15,49
香港政府欠了一條人命,2019-06-15,49
香港特首親上火線 宣布《逃犯條例》暫緩修訂,2019-06-15,49
6/13 香港反送中後續新聞總匯,2019-06-14,70
中國公安進港 港警全換人?,2019-06-14,70
香港「逃犯／送中條例」與台灣有何關係？外國媒體怎麼看？,2019-06-14,70
香港反送中6/13宿舍搜索新聞總匯,2019-06-14,70
這種港人還是怪怪當中共的狗吧,2019-06-14,70
這種港人乖乖當中共的狗吧,2019-06-14,70
第一線女孩Carey011677,2019-06-14,70
香港，加油。,2019-06-14,70
為什麼要反送中,2019-06-14,70
香港人：一些傳媒沒播的片段,2019-06-14,70
對於反送中 中國編輯的看法,2019-06-14,70
反送中就是不能信任中國,2019-06-14,70
香港.中國.西方社會,2019-06-14,70
看到香港事件，我們在意嗎？是的，我們在意。（公司支持反送中）,2019-06-14,70
支持香港不等於要投蔡,2019-06-14,70
【快訊】616撐香港，反送中。立法院見！,2019-06-14,70
香港修例是否會影響國際對港信心？外交部回應,2019-06-14,70
香港警察是對的！,2019-06-14,70
香港各界譴責暴力反修例,2019-06-14,70
挺反送中！「撤銷中港官員美國公民」白宮請願案火速通過,2019-06-14,70
「逃犯條例三部曲」之《砧板上》,2019-06-14,70
#新聞  反送中》「撤銷中國官員綠卡」 白宮請願案火速過關,2019-06-14,70
反送中前可以幫自己送終,2019-06-14,70
香港撐住，臺灣守住,2019-06-14,70
沒有藝人為香港發聲,2019-06-14,70
從一個中國人的角度看這次香港事件,2019-06-14,70
這裡是香港不是中國,2019-06-14,70
在香港幫忙的女子還被性騷擾,2019-06-14,70
反送中事件跟風?,2019-06-14,70
為什麼中國人支持送中？,2019-06-14,70
香港遊行 還好你的眼睛還有救,2019-06-14,70
香港人這次為什麼被中共打壓,2019-06-14,70
港警槍枝隱憂,2019-06-14,70
＃香港  手無寸鐵？？？,2019-06-14,70
譴責警察暴力！打倒林鄭殺人政權！推動罷工反送中！,2019-06-14,70
看看香港民眾如何對待警察,2019-06-14,70
抗議行動：對抗中共鷹犬旺中集團，團結支持香港罷工罷課，打倒中共獨裁和送中惡法！,2019-06-14,70
反送中運動下一步,2019-06-14,70
港台同心集會　譴責警察暴力鎮壓　聲援香港罷工罷課反送中！,2019-06-14,70
看看香港，想想台灣,2019-06-14,70
反送中還是反送終,2019-06-14,70
香港與親中派.....請看圖片,2019-06-14,70
反送中就一定得投蔡英文？,2019-06-14,70
《反送中》為何而反？,2019-06-14,70
不投蔡英文=台灣就會變香港???,2019-06-14,70
當香港人真爽,2019-06-14,70
反送中？反送支？？,2019-06-14,70
你們真的懂香港這次的事件？,2019-06-14,70
#反送中 禮拜天台北集會聲援香港 另附懶人包,2019-06-14,70
聽你說，挺送中。,2019-06-14,70
不多說，就是 香港加油！,2019-06-14,70
有一種瘟疫叫「新。香港人」,2019-06-14,70
送中條例不懶人包 （到底關台灣人甚麼事）,2019-06-14,70
除了反送中之外，還有一些議題可以關心,2019-06-14,70
只有香港反送中，那麼澳門呢？,2019-06-14,70
共產黨少將評香港,2019-06-14,70
6/14 反送中新聞總整理,2019-06-14,70
6/14 反送中新聞整理,2019-06-14,70
紫荊之殤 反送中 rap,2019-06-14,70
香港人是英國人還中國人？,2019-06-14,70
逃犯條例三部曲，您看過嗎？,2019-06-14,70
Re:不投蔡英文=臺灣就會變香港？？？,2019-06-14,70
這兩天其實是很好的時機（香港人在抗爭，我們呢？）,2019-06-14,70
不投蔡英文=臺灣就會變香港,2019-06-14,70
【逃犯條例】中方急召美國駐華使館官員：反對美方就修例說三道四,2019-06-14,70
明天6/16一起去立法院聲援香港！,2019-06-14,70
當我們在反送中時,2019-06-14,70
聲援香港,2019-06-14,70
「反送中」梗圖（不喜誤入（非地獄梗,2019-06-14,70
新聞＃逃犯條例修訂，民意到底站在誰的一邊？,2019-06-14,70
反送中TG綜合頻道整理（影圖慎入）,2019-06-13,119
送中通過後，香港可能的樣貌,2019-06-13,119
關於逃犯條例~送中問題,2019-06-13,119
關於反送中的小問題,2019-06-13,119
台灣永遠都不是香港，不要牽拖,2019-06-13,119
反送中v.s阿祥謝忻,2019-06-13,119
(更)怎沒看到鄧紫棋聲援反送中遊行？有許多網友留言說看到鄧紫棋本人！,2019-06-13,119
驚爆!!警搜港大宿舍！開始秋後算帳,2019-06-13,119
香港學界藝文界6／12起103小時絕食明志,2019-06-13,119
香港人 自由戰勝恐懼,2019-06-13,119
#反送中故事版,2019-06-13,119
幹你娘，垃圾共匪，是因為反送中，連海外人都想管制阿？,2019-06-13,119
反送中  推薦一丁目影片,2019-06-13,119
反送中 根本沒那麼嚴重,2019-06-13,119
#討論  我支持香港反送中  但是,2019-06-13,119
臺灣人為什麼要聲援反送中？說明 #文長,2019-06-13,119
香港警察？還是公安？,2019-06-13,119
台灣聲援香港反送中條例活動總整理,2019-06-13,119
鍾明軒反送中 慘了更愛他了,2019-06-13,119
toyz:不懂100萬人為什麼要遊行？對我生活沒影響阿！,2019-06-13,119
你知道「挺送中」的同溫層是怎樣的嗎？,2019-06-13,119
